Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleis Nr.;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;ErfMandant;FID;1_koord;2_koord;BPUIC;lod
220;11.324;ROSS;Rosshausern;Aussenperron;3;3;220.22;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;BLS;124369696;46.9349248268, 7.29822476431;46.9340857625,7.29560517215;8504487;http://lod.opentransportdata.swiss/didok/8504487
220;18.776;FEG;Ferenbalm-Gurbru;Hausperron;1;;200.0;P 20;;nicht vorhanden;konstant;Andere;Belag;Andere;Eisen;Kein;BLS;35352117;46.9536045739, 7.21964581782;46.9546350903,7.21749228397;8504485;http://lod.opentransportdata.swiss/didok/8504485
220;35.122;ZBR;Zihlbrucke;Hausperron;1;1;115.99;P 55;;nicht vorhanden;auslaufend;Fertigelement;;Beton;;Kein;BLS;35371273;47.009247488, 7.03170029165;47.0092408626,7.03017498419;8504490;http://lod.opentransportdata.swiss/didok/8504490
223;3.058;DEU;Les Deurres;Hausperron;1;1;146.09;<=P20;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35361161;46.9856983092, 6.89967427728;46.9850106828,6.8980378548;8504231;http://lod.opentransportdata.swiss/didok/8504231
224;14.017;MML;Montmollin-Montezillon;Hausperron;1;1;156.69;<=P20;P 10;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;SBB;35338107;46.9910260043, 6.84261111039;46.9923015917,6.84347322793;8504235;http://lod.opentransportdata.swiss/didok/8504235
224;20.925;HGV;Les Hauts-Geneveys;Hausperron;1;1;149.95;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35338264;47.0466988067, 6.87421281829;47.0478688208,6.87519433168;8504237;http://lod.opentransportdata.swiss/didok/8504237
224;21.014;HGV;Les Hauts-Geneveys;Mittelperron;2/3;2;60.93;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;SBB;35320703;47.0474509078, 6.8746400349;47.0479259095,6.87503995352;8504237;http://lod.opentransportdata.swiss/didok/8504237
224;21.075;HGV;Les Hauts-Geneveys;Mittelperron;2/3;2;44.32;P 20;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;Granit;Kein;SBB;35316716;47.0479259095, 6.87503995352;47.0482767271,6.87531666393;8504237;http://lod.opentransportdata.swiss/didok/8504237
224;21.075;HGV;Les Hauts-Geneveys;Mittelperron;2/3;2;44.48;P 20;;nicht vorhanden;konstant;Mauerwerk;;Naturstein;Granit;Kein;SBB;35374546;47.0479054254, 6.87510170638;47.0482698167,6.87534185967;8504237;http://lod.opentransportdata.swiss/didok/8504237
224;29.318;CF;La Chaux-de-Fonds;Mittelperron;5/6;6;37.92;<=P20;15;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35355587;47.0991794461, 6.82738116238;47.0989639969,6.82699392183;8504314;http://lod.opentransportdata.swiss/didok/8504314
